acceleration_in_x,acceleration_in_y,acceleration_in_z
-738.8000000000001,-41.5,-718.8
-738.8000000000001,-40.0,-716.8
-739.3,-43.5,-720.7
-737.8,-43.5,-715.3000000000001
-737.3,-41.0,-716.3000000000001
-736.8,-41.5,-716.3000000000001
-736.8,-42.0,-714.4000000000001
-736.3,-43.9,-714.8
-738.3,-40.0,-717.8
-738.8000000000001,-42.5,-715.3000000000001
-738.3,-42.5,-717.8
-737.8,-43.0,-712.4
-737.8,-44.4,-715.3000000000001
-737.8,-43.0,-718.3000000000001
-738.3,-40.5,-721.1999999999999
-736.8,-42.0,-719.7
-735.8,-42.5,-719.7
-739.3,-43.9,-721.1999999999999
-738.8000000000001,-43.5,-721.1999999999999
-738.8000000000001,-43.0,-719.7
-736.3,-41.5,-717.3000000000001
-736.3,-41.5,-715.3000000000001
-737.3,-43.5,-718.8
-737.8,-43.0,-717.3000000000001
-736.8,-43.0,-716.8
-735.8,-43.0,-717.8
-738.8000000000001,-42.5,-721.1999999999999
-737.3,-41.5,-715.3000000000001
-735.8,-42.5,-716.3000000000001
-737.8,-43.5,-716.3000000000001
-737.3,-42.5,-716.3000000000001
-737.8,-41.5,-718.8
-736.8,-43.0,-715.8
-736.8,-42.0,-717.8
-737.8,-41.5,-719.1999999999999
-738.8000000000001,-45.400000000000006,-716.3000000000001
-738.8000000000001,-42.5,-720.1999999999999
-737.3,-43.5,-720.1999999999999
-736.8,-42.5,-718.3000000000001
-737.3,-43.5,-716.3000000000001
-738.3,-42.5,-715.3000000000001
-736.8,-42.5,-718.3000000000001
-737.3,-41.0,-718.8
-736.3,-41.5,-716.3000000000001
-737.8,-41.5,-717.3000000000001
-737.8,-43.5,-716.8
-736.3,-42.5,-717.3000000000001
-739.3,-42.0,-717.3000000000001
-738.3,-42.5,-718.3000000000001
-736.8,-42.0,-714.4000000000001
-737.8,-42.0,-720.7
-736.8,-43.0,-717.3000000000001
-737.3,-42.0,-718.3000000000001
-736.3,-41.0,-716.3000000000001
-738.3,-41.0,-720.1999999999999
-737.3,-41.0,-716.3000000000001
-737.8,-42.0,-717.8
-737.3,-42.0,-717.3000000000001
-737.8,-43.9,-714.8
-736.3,-43.5,-715.8
-738.8000000000001,-42.0,-717.3000000000001
-738.8000000000001,-41.0,-718.8
-739.7,-41.0,-714.8
-738.8000000000001,-41.5,-717.8
-739.3,-42.5,-717.3000000000001
-737.3,-42.5,-716.8
-735.8,-40.5,-716.8
-737.8,-41.0,-716.3000000000001
-737.8,-43.5,-717.3000000000001
-736.8,-43.9,-717.3000000000001
-738.3,-43.9,-720.7
-736.8,-43.9,-718.3000000000001
-737.8,-41.5,-719.7
-736.8,-41.0,-720.1999999999999
-735.8,-41.0,-716.3000000000001
-737.8,-40.5,-719.1999999999999
-736.8,-43.0,-720.1999999999999
-737.3,-42.0,-717.3000000000001
-736.8,-43.0,-719.7
-737.3,-42.0,-716.3000000000001
-737.3,-41.5,-719.7
-735.8,-43.0,-716.3000000000001
-737.3,-42.0,-716.8
-738.8000000000001,-42.0,-715.8
-737.8,-43.0,-716.3000000000001
-737.8,-43.5,-715.3000000000001
-738.8000000000001,-41.5,-717.8
-738.3,-42.5,-717.8
-737.8,-41.5,-715.8
-738.3,-43.0,-715.3000000000001
-738.8000000000001,-43.5,-717.3000000000001
-737.3,-43.0,-718.3000000000001
-738.8000000000001,-42.0,-721.7
-738.3,-42.0,-719.1999999999999
-736.8,-41.5,-718.3000000000001
-736.3,-42.0,-717.8
-737.3,-42.5,-717.8
-737.3,-43.0,-718.8
-738.3,-44.4,-716.8
-737.3,-43.5,-715.8
-738.8000000000001,-42.5,-715.3000000000001
-739.3,-42.0,-716.3000000000001
-740.1999999999999,-42.0,-717.3000000000001
-736.8,-43.5,-718.3000000000001
-737.3,-43.5,-718.8
-735.8,-43.5,-717.3000000000001
-735.4000000000001,-43.5,-716.8
-738.3,-43.5,-715.8
-737.3,-43.0,-718.8
-737.3,-43.5,-713.9
-737.3,-43.0,-716.8
-738.3,-43.5,-716.8
-737.8,-44.4,-718.3000000000001
-736.8,-42.0,-720.7
-737.8,-42.5,-720.7
-738.8000000000001,-43.9,-717.3000000000001
-738.3,-42.5,-716.3000000000001
-737.8,-42.5,-719.7
-738.8000000000001,-41.5,-718.8
-735.8,-42.0,-720.7
-738.3,-41.5,-720.7
-737.8,-42.5,-719.7
-738.3,-43.0,-717.8
-735.8,-43.5,-716.3000000000001
-737.8,-41.5,-718.3000000000001
-737.8,-41.0,-716.8
-738.8000000000001,-42.5,-718.8
-738.3,-42.0,-717.3000000000001
-736.3,-42.5,-717.3000000000001
-736.8,-42.5,-717.8
-736.8,-43.5,-717.3000000000001
-735.8,-43.9,-718.3000000000001
-735.8,-42.0,-716.8
-738.3,-41.5,-713.9
-737.3,-43.0,-716.3000000000001
-737.3,-42.5,-716.3000000000001
-736.3,-42.0,-715.8
-738.8000000000001,-43.5,-719.1999999999999
-738.8000000000001,-43.0,-717.3000000000001
-739.7,-43.0,-717.8
-739.3,-43.0,-720.7
-738.3,-43.9,-716.8
-735.4000000000001,-42.0,-714.8
-736.8,-43.9,-715.3000000000001
-738.3,-41.0,-717.8
-737.8,-43.0,-719.7
-739.7,-42.5,-716.8
-737.8,-43.9,-720.1999999999999
-739.7,-42.5,-717.8
-737.8,-42.5,-720.1999999999999
-738.3,-43.5,-715.8
-737.3,-43.0,-718.8
-736.3,-43.0,-719.1999999999999
-736.3,-42.0,-717.3000000000001
-736.8,-40.5,-716.8
-737.3,-41.5,-716.3000000000001
-737.8,-42.0,-717.3000000000001
-738.8000000000001,-43.0,-717.3000000000001
-735.8,-43.5,-717.8
-740.1999999999999,-41.5,-716.3000000000001
-739.3,-43.0,-720.7
-737.3,-43.0,-718.3000000000001
-738.3,-42.5,-717.3000000000001
-737.3,-43.0,-718.3000000000001
-736.8,-40.5,-718.8
-739.3,-43.0,-720.7
-736.8,-43.9,-715.3000000000001
-736.8,-43.5,-717.8
-737.3,-41.5,-718.3000000000001
-738.3,-43.0,-721.1999999999999
-737.8,-42.0,-718.3000000000001
-738.8000000000001,-42.0,-716.8
-737.8,-40.5,-718.3000000000001
-738.3,-42.5,-715.8
-738.3,-44.4,-717.3000000000001
-738.3,-41.0,-717.8
-737.3,-41.5,-717.3000000000001
-737.8,-42.5,-719.1999999999999
-738.3,-43.0,-714.8
-736.8,-42.0,-716.8
-737.3,-40.5,-716.3000000000001
-737.3,-41.0,-716.8
-738.8000000000001,-42.5,-717.3000000000001
-735.8,-43.0,-717.3000000000001
-737.3,-43.5,-720.1999999999999
-738.8000000000001,-43.9,-716.8
-737.8,-42.0,-717.3000000000001
-738.3,-43.5,-717.3000000000001
-736.8,-42.0,-720.7
-736.8,-43.5,-717.8
-737.8,-43.5,-716.3000000000001
-738.3,-42.5,-716.3000000000001
-737.3,-42.5,-714.4000000000001
-736.3,-41.0,-718.8
-737.8,-42.5,-721.1999999999999
-738.8000000000001,-42.0,-719.1999999999999
-737.3,-40.5,-718.3000000000001
-735.8,-41.0,-717.3000000000001
-736.8,-43.0,-718.8
-737.8,-43.9,-716.3000000000001
-736.8,-44.900000000000006,-714.8
-737.8,-43.5,-718.3000000000001
-737.3,-43.0,-718.3000000000001
-737.3,-43.5,-716.3000000000001
-738.8000000000001,-43.0,-716.8
-739.7,-41.0,-718.3000000000001
-736.3,-40.5,-719.1999999999999
-735.8,-42.0,-716.3000000000001
-738.3,-41.5,-719.7
-738.3,-44.4,-717.8
-737.8,-42.5,-718.3000000000001
-738.3,-43.0,-717.8
-738.3,-43.5,-715.3000000000001
-736.8,-41.0,-717.8
-738.3,-42.5,-720.1999999999999
-736.8,-42.0,-719.1999999999999
-736.8,-42.5,-718.8
-737.8,-42.0,-719.1999999999999
-739.7,-43.0,-718.3000000000001
-736.3,-43.0,-718.8
-736.8,-43.0,-720.7
-738.3,-43.0,-717.3000000000001
-736.8,-43.0,-719.7
-736.3,-42.0,-719.7
-738.3,-43.0,-718.8
-737.3,-43.0,-718.8
-737.8,-41.5,-717.3000000000001
-738.3,-43.0,-714.8
-737.3,-43.0,-713.4000000000001
-735.8,-42.5,-716.8
-736.8,-43.0,-718.3000000000001
-737.8,-42.5,-716.8
-738.8000000000001,-43.0,-718.3000000000001
-737.8,-43.5,-720.7
-737.3,-43.0,-721.7
-737.8,-43.0,-720.7
-738.3,-43.5,-719.7
-737.8,-43.5,-719.7
-737.3,-43.5,-718.8
-739.3,-42.5,-717.8
-738.3,-43.0,-720.1999999999999
-738.8000000000001,-42.0,-719.7
-738.8000000000001,-42.0,-716.8
-737.8,-42.0,-716.3000000000001
-737.8,-40.0,-716.3000000000001
-736.3,-43.0,-721.7
-737.8,-42.0,-717.8
-737.8,-43.5,-717.8
-735.8,-42.5,-720.7
-735.8,-41.0,-715.8
-738.3,-43.9,-718.3000000000001
-736.3,-42.5,-717.8
-736.8,-40.5,-719.7
-737.8,-42.0,-720.1999999999999
-736.3,-42.5,-719.7
-735.8,-43.0,-718.3000000000001
-736.3,-43.0,-717.8
-736.3,-45.400000000000006,-719.7
-738.8000000000001,-43.0,-716.8
-737.3,-41.5,-715.8
-737.8,-41.5,-717.3000000000001
-737.3,-42.0,-718.8
-737.3,-42.5,-717.8
-737.3,-43.0,-717.8
-737.3,-42.5,-717.3000000000001
-738.3,-43.0,-718.3000000000001
-738.3,-43.5,-719.1999999999999
-738.3,-43.9,-716.3000000000001
-738.3,-43.0,-718.8
-737.8,-44.4,-714.8
-737.3,-45.400000000000006,-717.8
-737.8,-42.5,-714.8
-737.3,-42.0,-717.3000000000001
-737.3,-42.0,-717.8
-738.3,-42.0,-720.7
-738.8000000000001,-41.5,-719.1999999999999
-736.3,-41.0,-719.1999999999999
-737.3,-42.0,-721.7
-735.8,-44.4,-717.8
-737.3,-42.5,-715.3000000000001
-737.3,-41.0,-717.8
-735.8,-41.0,-719.1999999999999
-736.3,-41.5,-718.8
-738.8000000000001,-41.0,-720.1999999999999
-737.3,-42.5,-721.1999999999999
-737.8,-40.5,-720.7
-739.3,-42.0,-717.8
-739.3,-43.5,-718.8
-737.3,-43.0,-720.1999999999999
-738.3,-43.9,-718.8
-738.8000000000001,-42.0,-717.8
-736.8,-42.0,-719.1999999999999
-736.3,-42.0,-720.1999999999999
-736.3,-43.5,-722.7
-735.4000000000001,-44.4,-715.8
-737.8,-43.9,-720.7
-737.3,-43.9,-721.1999999999999
-737.3,-43.9,-718.3000000000001
-735.4000000000001,-42.0,-717.8
-738.3,-42.5,-718.8
-737.3,-41.5,-717.8
-736.8,-42.0,-716.8
-735.8,-42.0,-716.8
-736.3,-42.0,-719.1999999999999
-738.8000000000001,-43.9,-717.3000000000001
-737.8,-43.5,-716.3000000000001
-737.3,-41.0,-717.3000000000001
-736.3,-41.5,-719.1999999999999
-736.3,-41.0,-721.1999999999999
-736.3,-42.0,-718.8
-736.8,-42.0,-716.3000000000001
-737.3,-42.5,-715.3000000000001
-738.8000000000001,-43.9,-717.8
-736.8,-41.5,-717.3000000000001
-736.8,-42.5,-718.8
-737.3,-42.0,-716.8
-736.3,-41.5,-718.8
-737.3,-44.4,-720.1999999999999
-737.8,-42.5,-719.1999999999999
-737.8,-42.5,-716.8
-738.3,-42.5,-718.8
-737.3,-43.5,-716.3000000000001
-737.8,-43.5,-719.1999999999999
-738.8000000000001,-42.5,-718.3000000000001
-738.8000000000001,-41.5,-715.8
-738.3,-41.0,-714.8
-737.3,-42.5,-718.8
-737.8,-42.0,-717.3000000000001
-737.8,-43.5,-718.3000000000001
-736.3,-42.5,-720.1999999999999
-735.8,-41.5,-717.3000000000001
-737.8,-43.0,-717.3000000000001
-737.8,-45.400000000000006,-719.7
-735.4000000000001,-43.0,-718.8
-739.3,-43.5,-717.8
-738.8000000000001,-42.0,-713.4000000000001
-737.8,-42.0,-718.8
-737.3,-42.5,-717.8
-738.3,-42.5,-714.4000000000001
-738.8000000000001,-43.5,-717.3000000000001
-738.8000000000001,-41.5,-718.3000000000001
-737.3,-43.5,-719.7
-735.8,-42.5,-719.1999999999999
-737.8,-43.0,-718.3000000000001
-737.8,-44.4,-720.7
-739.3,-44.900000000000006,-717.3000000000001
-739.7,-43.5,-717.8
-737.8,-43.9,-716.3000000000001
-737.3,-43.5,-716.8
-737.3,-42.5,-713.9
-737.3,-43.9,-716.8
-735.8,-43.9,-718.3000000000001
-737.3,-42.0,-715.3000000000001
-735.8,-42.5,-716.8
-735.8,-43.0,-720.1999999999999
-737.8,-43.0,-716.8
-736.8,-42.5,-717.3000000000001
-736.8,-43.5,-716.3000000000001
-737.3,-42.0,-713.9
-738.3,-42.5,-716.3000000000001
-737.3,-42.5,-716.3000000000001
-737.8,-42.5,-716.8
-735.8,-42.0,-715.8
-738.8000000000001,-42.5,-716.8
-734.9,-42.0,-717.3000000000001
-737.8,-42.5,-716.8
-736.3,-43.9,-718.8
-735.4000000000001,-44.4,-715.3000000000001
-735.8,-42.5,-717.8
-735.8,-43.0,-717.8
-737.3,-41.5,-717.3000000000001
-737.3,-42.5,-715.3000000000001
-738.3,-42.5,-717.8
-737.8,-42.5,-716.3000000000001
-736.8,-42.0,-718.3000000000001
-739.3,-42.5,-718.3000000000001
-738.8000000000001,-43.0,-719.7
-735.8,-43.5,-719.1999999999999
-737.3,-42.5,-716.3000000000001
-736.3,-42.0,-719.1999999999999
-736.3,-43.9,-719.7
-737.3,-42.5,-718.3000000000001
-735.8,-43.5,-720.1999999999999
-736.8,-42.5,-716.8
-736.8,-41.0,-715.8
-737.3,-41.0,-715.8
-737.8,-42.5,-717.3000000000001
-739.3,-43.0,-717.3000000000001
-738.8000000000001,-41.5,-717.3000000000001
-737.8,-41.5,-719.1999999999999
-737.8,-43.0,-716.8
-738.3,-43.0,-714.8
-738.8000000000001,-43.5,-716.8
-739.3,-44.900000000000006,-716.3000000000001
-737.8,-43.5,-719.7
-738.3,-43.0,-717.3000000000001
-738.3,-44.4,-717.8
-737.8,-43.5,-718.8
-735.4000000000001,-42.0,-717.3000000000001
-736.3,-42.5,-717.3000000000001
-737.3,-42.0,-716.8
-737.8,-42.0,-717.3000000000001
-738.8000000000001,-42.5,-718.8
-738.3,-43.9,-715.8
-737.3,-43.5,-717.8
-736.8,-43.0,-715.3000000000001
-738.8000000000001,-42.5,-717.8
-737.3,-42.5,-714.4000000000001
-736.8,-42.5,-715.8
-735.4000000000001,-42.5,-713.9
-738.3,-41.5,-716.8
-738.8000000000001,-41.0,-716.8
-738.3,-42.5,-717.3000000000001
-738.8000000000001,-41.0,-714.8
-738.3,-42.5,-718.3000000000001
-736.3,-41.5,-721.7
-737.3,-41.5,-719.7
-736.8,-41.5,-717.8
-736.3,-41.0,-716.3000000000001
-738.3,-41.5,-717.8
-736.8,-43.9,-722.1999999999999
-737.8,-45.400000000000006,-720.1999999999999
-736.3,-43.0,-717.8
-735.8,-43.0,-720.1999999999999
-738.8000000000001,-44.4,-715.8
-738.3,-42.0,-717.3000000000001
-737.8,-43.0,-717.3000000000001
-736.8,-43.5,-718.3000000000001
-736.8,-40.5,-716.3000000000001
-736.3,-42.5,-716.3000000000001
-736.3,-43.5,-720.7
-735.8,-41.5,-719.1999999999999
-735.8,-43.9,-717.8
-737.3,-42.0,-718.3000000000001
-736.8,-42.0,-718.8
-738.3,-43.5,-719.1999999999999
-737.3,-42.5,-717.8
-738.8000000000001,-43.0,-718.3000000000001
-737.8,-42.5,-718.3000000000001
-738.3,-43.5,-715.8
-736.8,-42.0,-716.8
-738.8000000000001,-43.9,-718.8
-736.8,-43.5,-719.1999999999999
-737.3,-44.4,-717.3000000000001
-739.3,-43.5,-718.3000000000001
-739.7,-42.5,-718.3000000000001
-737.3,-42.0,-717.8
-735.4000000000001,-42.5,-719.1999999999999
-735.4000000000001,-41.0,-716.8
-737.8,-42.5,-716.3000000000001
-737.8,-43.0,-720.7
-737.8,-44.4,-720.7
-737.3,-43.5,-719.7
-737.3,-43.5,-717.3000000000001
-738.8000000000001,-43.5,-716.3000000000001
-738.3,-43.0,-716.3000000000001
-736.8,-43.0,-716.3000000000001
-737.3,-43.0,-720.1999999999999
-737.8,-42.5,-715.8
-739.3,-43.0,-716.8
-737.3,-43.9,-714.8
-738.3,-45.900000000000006,-713.9
-737.3,-44.900000000000006,-716.3000000000001
-737.3,-43.5,-716.8
-735.8,-43.5,-718.8
-737.8,-43.5,-717.3000000000001
-736.8,-43.5,-719.7
-736.3,-42.0,-717.8
-738.3,-42.0,-717.8
-736.8,-43.0,-718.3000000000001
-736.3,-44.4,-720.7
-738.8000000000001,-43.5,-718.3000000000001
-737.8,-42.5,-719.7
-737.8,-42.0,-716.3000000000001
-737.3,-42.0,-718.8
-735.8,-41.5,-717.8
-736.8,-42.0,-719.7
-737.8,-43.9,-720.1999999999999
-737.8,-42.5,-717.8
-736.8,-43.0,-719.1999999999999
-736.8,-42.5,-720.1999999999999
-737.3,-42.0,-716.3000000000001
-737.8,-43.5,-716.3000000000001
-737.8,-41.5,-721.1999999999999
-738.3,-42.5,-718.3000000000001
-738.3,-41.5,-715.8
-736.8,-42.5,-716.8
-736.8,-44.4,-717.8
-737.8,-44.900000000000006,-716.3000000000001
-736.8,-41.0,-715.3000000000001
-737.8,-41.0,-715.3000000000001
-737.8,-42.0,-719.7
-736.8,-43.5,-717.3000000000001
-735.8,-41.0,-718.3000000000001
-736.8,-42.0,-718.3000000000001
-736.3,-41.0,-717.8
-738.3,-42.5,-718.3000000000001
-735.8,-42.5,-720.7
-736.8,-43.5,-717.3000000000001
-737.8,-41.0,-716.3000000000001
-739.3,-43.0,-716.8
-738.3,-43.9,-718.3000000000001
-737.8,-42.0,-718.3000000000001
-737.8,-43.0,-719.7
-737.3,-43.5,-719.1999999999999
-738.3,-42.0,-720.1999999999999
-737.3,-42.5,-715.3000000000001
-737.8,-43.9,-717.3000000000001
-737.8,-43.0,-721.1999999999999
-737.8,-41.5,-715.3000000000001
-737.3,-42.0,-716.3000000000001
-738.8000000000001,-42.0,-715.3000000000001
-737.3,-41.5,-715.8
-738.3,-42.0,-717.8
-736.8,-42.0,-722.7
-738.3,-41.5,-717.8
-738.3,-43.5,-718.8
-738.3,-44.4,-715.8
-736.8,-45.400000000000006,-718.8
-737.3,-43.9,-716.3000000000001
-737.8,-43.9,-718.8
-737.3,-43.0,-716.8
-738.8000000000001,-43.0,-716.8
-736.8,-41.5,-718.3000000000001
-738.8000000000001,-41.0,-714.8
-737.3,-42.0,-718.8
-738.3,-43.9,-718.3000000000001
-736.8,-43.9,-717.3000000000001
-736.3,-43.0,-715.3000000000001
-736.3,-43.0,-719.1999999999999
-734.9,-42.0,-717.8
-737.8,-43.0,-714.4000000000001
-738.8000000000001,-43.9,-717.8
-737.8,-42.0,-716.3000000000001
-737.8,-42.5,-716.8
-738.8000000000001,-43.0,-718.3000000000001
-738.3,-43.5,-715.8
-738.8000000000001,-43.9,-717.3000000000001
-736.3,-43.5,-712.4
-737.3,-41.5,-716.3000000000001
-735.4000000000001,-42.0,-716.3000000000001
-735.8,-43.0,-721.7
-736.3,-42.5,-721.7
-736.3,-41.0,-716.8
-736.8,-41.5,-717.3000000000001
-735.8,-43.0,-718.8
-737.3,-42.5,-717.8
-737.3,-40.0,-717.8
-736.8,-42.5,-715.3000000000001
-735.4000000000001,-42.5,-714.8
-737.3,-43.9,-715.3000000000001
-737.3,-43.5,-717.8
-736.8,-42.0,-718.3000000000001
-735.8,-43.9,-717.3000000000001
-736.3,-44.900000000000006,-718.3000000000001
-736.3,-43.5,-715.8
-736.8,-43.5,-718.3000000000001
-736.3,-43.5,-716.8
-737.3,-43.0,-720.1999999999999
-736.8,-43.0,-716.3000000000001
-737.8,-42.5,-717.8
-736.8,-42.0,-718.3000000000001
-738.3,-42.5,-717.8
-737.3,-41.0,-716.3000000000001
-736.8,-41.5,-715.8
-738.3,-42.5,-718.3000000000001
-737.3,-43.0,-719.7
-736.8,-43.0,-717.3000000000001
-736.8,-43.5,-714.4000000000001
-737.3,-42.0,-710.4
-737.8,-42.0,-713.9
-737.3,-43.0,-716.8
-737.3,-42.5,-718.8
-736.8,-41.5,-720.7
-734.9,-42.0,-717.8
-736.3,-43.0,-721.7
-738.3,-43.5,-718.8
-738.8000000000001,-44.4,-718.8
-738.8000000000001,-42.5,-718.8
-739.3,-41.5,-718.8
-738.3,-42.0,-716.3000000000001
-735.4000000000001,-41.0,-718.3000000000001
-737.3,-41.5,-718.3000000000001
-738.3,-41.5,-721.1999999999999
-736.3,-42.5,-718.8
-737.8,-44.4,-717.8
-736.8,-42.5,-716.8
-737.3,-43.0,-719.1999999999999
-736.8,-44.4,-717.3000000000001
-738.3,-42.5,-716.8
-736.8,-41.0,-717.8
-736.3,-43.9,-717.8
-736.8,-43.5,-717.3000000000001
-737.3,-43.5,-719.7
-737.3,-43.5,-714.8
-737.3,-41.5,-714.8
-736.3,-42.0,-716.8
-736.8,-43.0,-720.1999999999999
-737.8,-41.5,-717.3000000000001
-738.3,-41.0,-717.3000000000001
-737.3,-42.0,-719.1999999999999
-736.8,-42.5,-717.3000000000001
-737.3,-42.0,-721.1999999999999
-736.3,-42.0,-719.7
-737.8,-42.5,-717.8
-737.3,-41.0,-718.8
-738.3,-43.0,-716.3000000000001
-737.8,-42.5,-715.8
-738.8000000000001,-44.900000000000006,-720.1999999999999
-736.3,-41.0,-719.1999999999999
-735.8,-42.5,-718.8
-736.8,-42.5,-720.1999999999999
-736.8,-42.0,-717.3000000000001
-737.8,-43.5,-716.8
-738.8000000000001,-42.5,-718.8
-736.8,-43.9,-718.8
-738.3,-42.0,-716.8
-738.8000000000001,-41.0,-717.3000000000001
-737.3,-43.0,-714.8
-736.3,-42.0,-717.3000000000001
-737.3,-43.5,-718.8
-736.8,-43.0,-717.3000000000001
-738.8000000000001,-41.5,-714.4000000000001
-738.3,-43.5,-717.3000000000001
-736.3,-43.5,-718.8
-737.8,-43.5,-716.8
-739.3,-43.9,-719.1999999999999
-738.8000000000001,-43.9,-718.8
-737.3,-43.0,-718.8
-737.3,-43.0,-717.3000000000001
-736.8,-42.5,-719.1999999999999
-737.8,-42.0,-720.7
-738.8000000000001,-43.5,-719.1999999999999
-738.3,-42.0,-719.7
-736.3,-42.5,-719.7
-736.8,-43.0,-717.8
-737.8,-41.0,-716.3000000000001
-737.3,-41.5,-716.3000000000001
-735.8,-41.5,-716.8
-737.3,-42.0,-718.8
-737.8,-42.0,-720.7
-736.3,-44.4,-716.8
-736.8,-41.0,-715.3000000000001
-737.3,-42.5,-716.3000000000001
-738.3,-43.0,-715.8
-738.3,-43.0,-715.3000000000001
-737.3,-41.5,-716.3000000000001
-738.8000000000001,-41.0,-717.3000000000001
-737.8,-42.0,-720.7
-737.8,-41.0,-718.3000000000001
-736.3,-41.5,-721.7
-737.8,-42.5,-720.1999999999999
-738.8000000000001,-41.5,-717.8
-738.3,-42.5,-717.3000000000001
-736.3,-42.0,-720.7
-737.3,-41.5,-718.3000000000001
-739.7,-41.0,-719.1999999999999
-737.8,-43.9,-717.8
-737.3,-43.5,-715.8
-737.8,-41.5,-718.3000000000001
-737.3,-42.5,-714.8
-736.3,-43.9,-717.3000000000001
-737.8,-42.0,-718.3000000000001
-738.8000000000001,-43.9,-719.7
-737.3,-42.5,-715.8
-738.3,-40.5,-716.8
-735.4000000000001,-42.5,-716.8
-735.4000000000001,-43.9,-716.3000000000001
-736.3,-41.5,-720.1999999999999
-736.8,-42.0,-718.8
-738.8000000000001,-42.5,-717.8
-737.8,-43.0,-720.7
-737.8,-44.900000000000006,-719.7
-737.8,-44.4,-719.7
-737.3,-41.5,-715.3000000000001
-736.3,-41.0,-717.3000000000001
-737.8,-41.5,-717.3000000000001
-739.3,-41.5,-720.1999999999999
-739.3,-41.0,-719.1999999999999
-736.8,-42.5,-716.8
-738.8000000000001,-45.400000000000006,-710.4
-739.3,-44.4,-714.4000000000001
-737.8,-43.5,-718.3000000000001
-734.9,-42.5,-717.8
-737.3,-42.0,-716.8
-736.3,-42.5,-718.3000000000001
-736.8,-43.9,-717.8
-737.8,-43.0,-716.3000000000001
-735.8,-42.5,-716.3000000000001
-737.3,-41.5,-718.8
-736.3,-43.0,-719.1999999999999
-736.8,-42.0,-717.8
-736.8,-42.5,-718.3000000000001
-736.3,-41.0,-717.3000000000001
-736.3,-42.5,-718.3000000000001
-739.3,-42.5,-719.7
-737.8,-43.0,-718.3000000000001
-736.8,-40.5,-719.1999999999999
-736.3,-43.0,-717.8
-736.3,-42.0,-715.3000000000001
-738.3,-40.5,-716.3000000000001
-736.8,-40.5,-718.3000000000001
-736.8,-42.5,-717.8
-737.8,-43.0,-718.3000000000001
-738.3,-43.5,-716.8
-737.3,-43.5,-718.8
-736.8,-42.0,-716.8
-736.8,-42.5,-718.3000000000001
-737.3,-43.0,-718.3000000000001
-736.8,-42.5,-716.8
-736.8,-42.0,-719.7
-736.8,-40.5,-719.7
-735.8,-41.0,-719.1999999999999
-737.8,-42.5,-714.8
-736.3,-40.5,-716.3000000000001
-735.8,-38.6,-719.7
-737.8,-41.0,-715.3000000000001
-736.3,-42.0,-717.3000000000001
-735.8,-40.5,-715.8
-737.8,-42.0,-717.3000000000001
-736.3,-43.0,-714.8
-735.8,-42.5,-715.3000000000001
-736.8,-42.0,-714.4000000000001
-735.8,-42.5,-717.3000000000001
-736.8,-41.0,-717.3000000000001
-737.3,-42.0,-714.4000000000001
-737.3,-43.5,-717.3000000000001
-736.8,-42.5,-714.8
-738.3,-42.0,-716.3000000000001
-735.8,-42.5,-719.1999999999999
-734.9,-41.5,-718.8
-735.8,-42.0,-720.1999999999999
-736.8,-41.5,-717.8
-736.8,-41.5,-717.8
-738.8000000000001,-39.1,-715.8
-736.3,-41.5,-714.4000000000001
-736.8,-41.5,-717.3000000000001
-736.8,-43.9,-717.8
-736.3,-44.900000000000006,-719.7
-734.9,-45.400000000000006,-718.3000000000001
-736.3,-43.5,-716.8
-737.8,-43.5,-717.8
-738.3,-41.0,-720.7
-737.8,-42.0,-720.7
-737.3,-41.0,-716.8
-738.8000000000001,-42.5,-719.1999999999999
-738.8000000000001,-42.0,-718.3000000000001
-737.3,-42.5,-717.3000000000001
-737.3,-43.0,-714.8
-736.3,-42.5,-717.8
-734.9,-43.0,-712.9
-735.8,-43.0,-716.8
-735.8,-43.5,-717.8
-737.3,-43.5,-718.8
-735.8,-42.5,-716.8
-735.8,-40.5,-715.8
-736.3,-41.0,-722.1999999999999
-735.8,-42.0,-721.1999999999999
-737.8,-43.5,-715.8
-737.8,-42.5,-718.8
-736.8,-43.9,-715.3000000000001
-737.3,-42.0,-712.4
-736.3,-42.5,-714.4000000000001
-736.8,-43.0,-719.1999999999999
-737.3,-41.5,-715.3000000000001
-737.3,-43.0,-716.3000000000001
-737.3,-43.5,-717.8
-738.3,-41.5,-718.3000000000001
-737.8,-41.0,-719.1999999999999
-737.8,-43.5,-717.8
-738.8000000000001,-43.0,-717.3000000000001
-737.3,-42.5,-714.8
-738.3,-43.5,-714.4000000000001
-736.3,-45.400000000000006,-719.7
-737.8,-43.9,-715.8
-737.8,-43.9,-717.3000000000001
-736.8,-42.0,-716.3000000000001
-735.8,-44.900000000000006,-714.8
-735.8,-42.0,-715.3000000000001
-735.8,-42.5,-713.4000000000001
-738.3,-42.5,-716.3000000000001
-737.8,-43.0,-716.3000000000001
-737.8,-43.9,-714.4000000000001
-735.8,-43.0,-716.8
-737.8,-42.0,-717.3000000000001
-737.3,-43.5,-719.7
-736.8,-43.0,-720.7
-738.8000000000001,-44.4,-719.7
-738.8000000000001,-44.900000000000006,-718.3000000000001
-738.3,-43.5,-719.1999999999999
-738.8000000000001,-41.5,-715.8
-736.3,-41.5,-720.7
-734.4000000000001,-44.4,-718.3000000000001
